iteration,n_objects,stage,n_threads,current_meshes,compute_cdt,compute_cat_cells,optimize_positions,process_iteration
6,8,0,1,1605.0,4098.0,908521.0,557582.0,122437.0
7,8,0,1,1718.0,4247.0,915224.0,541537.0,125363.0
8,8,0,1,1781.0,4235.0,913962.0,537959.0,122821.0
9,8,0,1,1644.0,4127.0,898402.0,584825.0,120920.0
0,8,1,1,1654.0,4284.0,953845.0,543968.0,129495.0
1,8,1,1,1666.0,4439.0,961996.0,578018.0,127319.0
2,8,1,1,1605.0,4209.0,960322.0,596952.0,125952.0
3,8,1,1,1648.0,4200.0,963603.0,555499.0,129932.0
4,8,1,1,1678.0,4230.0,962645.0,572223.0,132533.0
5,8,1,1,1665.0,4249.0,960293.0,591866.0,132499.0
6,8,1,1,1794.0,4393.0,954832.0,553311.0,129258.0
7,8,1,1,1698.0,4472.0,982216.0,546993.0,141350.0
8,8,1,1,1638.0,4334.0,970974.0,609481.0,127628.0
9,8,1,1,1610.0,4258.0,982779.0,585182.0,131413.0
0,8,2,1,1655.0,4503.0,1020125.0,552863.0,136298.0
1,8,2,1,1640.0,4706.0,1070584.0,591809.0,139556.0
2,8,2,1,1634.0,4459.0,1059975.0,578906.0,140895.0
3,8,2,1,3083.0,4903.0,1047431.0,592575.0,142639.0
4,8,2,1,1799.0,6950.0,1175413.0,635218.0,148609.0
5,8,2,1,1702.0,4682.0,1075203.0,617170.0,145818.0
6,8,2,1,1637.0,4603.0,1024667.0,596363.0,147946.0
7,8,2,1,1755.0,4659.0,1075217.0,615779.0,144920.0
8,8,2,1,1697.0,4826.0,1038258.0,590637.0,134759.0
9,8,2,1,1667.0,4524.0,1015974.0,585767.0,137883.0
0,8,3,1,2199.0,5514.0,1119806.0,612057.0,150343.0
1,8,3,1,1672.0,4955.0,1106787.0,605465.0,145557.0
2,8,3,1,1658.0,4891.0,1099033.0,607168.0,145623.0
3,8,3,1,1625.0,4910.0,1100302.0,597447.0,155508.0
4,8,3,1,1626.0,4806.0,1101026.0,600459.0,144323.0
5,8,3,1,1709.0,4939.0,1114721.0,586607.0,146253.0
6,8,3,1,1750.0,4976.0,1229041.0,606594.0,151302.0
7,8,3,1,1667.0,4895.0,1143811.0,623361.0,147570.0
8,8,3,1,1651.0,4942.0,1122767.0,694834.0,155317.0
9,8,3,1,2087.0,5410.0,1215329.0,663020.0,157382.0
0,8,4,1,1731.0,5517.0,1259152.0,657093.0,168299.0
1,8,4,1,1802.0,5855.0,1298553.0,629777.0,161806.0
2,8,4,1,1737.0,5194.0,1340536.0,688852.0,168418.0
3,8,4,1,1765.0,5561.0,1266633.0,658099.0,187918.0
4,8,4,1,1985.0,6154.0,1341142.0,651165.0,159981.0
5,8,4,1,2726.0,7486.0,1299165.0,649617.0,173228.0
6,8,4,1,1834.0,5979.0,1337922.0,757049.0,205351.0
7,8,4,1,1921.0,6058.0,1259176.0,667988.0,158097.0
8,8,4,1,1739.0,5539.0,1266522.0,671244.0,159889.0
9,8,4,1,1634.0,5354.0,1256266.0,645853.0,156347.0
0,8,5,1,1767.0,5935.0,1542644.0,653852.0,188272.0
1,8,5,1,1634.0,5883.0,1382792.0,716540.0,183718.0
2,8,5,1,1713.0,6090.0,1416616.0,682017.0,182137.0
3,8,5,1,1655.0,6019.0,1368942.0,652551.0,184245.0
