iteration,n_objects,stage,n_threads,runtime,numba
0,8,8,1,145.82598567008972,True
0,8,8,2,0.006880521774291992,True
0,8,8,4,0.1657726764678955,True
0,8,8,8,0.42296385765075684,True
0,8,8,16,0.7000288963317871,True
0,8,8,32,0.39022231101989746,True
0,8,8,64,0.4920337200164795,True
0,8,8,128,0.35228919982910156,True
0,8,0,1,20.273972034454346,True
0,8,0,2,0.0013086795806884766,True
0,8,0,4,0.27000975608825684,True
0,8,0,8,0.21914958953857422,True
0,8,0,16,0.35059094429016113,True
0,8,0,32,0.30797386169433594,True
0,8,0,64,0.13676953315734863,True
0,8,0,128,0.32044553756713867,True
0,16,8,1,211.22660398483276,True
0,16,8,2,0.006668806076049805,True
0,16,8,4,0.18472647666931152,True
0,16,8,8,0.7629258632659912,True
0,16,8,16,1.6910274028778076,True
0,16,8,32,0.617919921875,True
0,16,8,64,0.42911481857299805,True
0,16,8,128,0.9192185401916504,True
0,16,0,1,88.06539678573608,True
0,16,0,2,0.0012288093566894531,True
0,16,0,4,0.2641909122467041,True
0,16,0,8,0.40811991691589355,True
0,16,0,16,0.41059160232543945,True
0,16,0,32,0.4400646686553955,True
0,16,0,64,0.03783082962036133,True
0,16,0,128,0.02336597442626953,True
0,32,8,1,566.5321350097656,True
0,32,8,2,0.008441448211669922,True
0,32,8,4,0.2921721935272217,True
0,32,8,8,0.16439104080200195,True
0,32,8,16,1.112699270248413,True
0,32,8,32,1.6149463653564453,True
0,32,8,64,1.45219087600708,True
0,32,8,128,2.086087703704834,True
0,32,0,1,170.24259161949158,True
0,32,0,2,0.010949134826660156,True
0,32,0,4,0.10413765907287598,True
0,32,0,8,0.03693413734436035,True
0,32,0,16,0.5243310928344727,True
0,32,0,32,1.3542046546936035,True
0,32,0,64,1.3637046813964844,True
0,32,0,128,0.5694916248321533,True
0,64,8,1,904.6831369400024,True
0,64,8,2,0.005778074264526367,True
0,64,8,4,0.1293942928314209,True
0,64,8,8,0.17798590660095215,True
0,64,8,16,0.5048496723175049,True
0,64,8,32,1.4740192890167236,True
0,64,8,64,3.0137953758239746,True
0,64,8,128,0.29772448539733887,True
0,64,0,1,235.30935049057007,True
0,64,0,2,0.0018856525421142578,True
0,64,0,4,0.13041114807128906,True
0,64,0,8,0.11991739273071289,True
0,64,0,16,0.3366200923919678,True
0,64,0,32,0.7337534427642822,True
0,64,0,64,0.12497329711914062,True
0,64,0,128,30.74699115753174,True
0,128,8,1,1584.7465586662292,True
0,128,8,2,0.0077097415924072266,True
0,128,8,4,0.35890698432922363,True
0,128,8,8,0.2679769992828369,True
0,128,8,16,1.005030632019043,True
0,128,8,32,1.89094877243042,True
0,128,8,64,2.0031306743621826,True
0,128,8,128,0.4949984550476074,True
0,128,0,1,564.1965880393982,True
0,128,0,2,0.44611048698425293,True
0,128,0,4,0.11416029930114746,True
0,128,0,8,0.33417344093322754,True
0,128,0,16,0.3527398109436035,True
0,128,0,32,1.6599652767181396,True
0,128,0,64,2.001025915145874,True
0,128,0,128,1.908285140991211,True
0,256,8,1,3702.672180891037,True
0,256,8,2,0.007580757141113281,True
0,256,8,4,0.11743021011352539,True
0,256,8,8,0.6394898891448975,True
0,256,8,16,1.59846830368042,True
0,256,8,32,2.0963335037231445,True
0,256,8,64,5.01633358001709,True
0,256,8,128,1.099658727645874,True
0,256,0,1,523.5508344173431,True
0,256,0,2,0.003373861312866211,True
0,256,0,4,0.07271599769592285,True
0,256,0,8,0.4172825813293457,True
0,256,0,16,0.4875063896179199,True
0,256,0,32,0.397815465927124,True
0,256,0,64,0.09060478210449219,True
0,256,0,128,70.00998187065125,True
1,8,8,1,153.71111226081848,True
1,8,8,2,0.004824638366699219,True
1,8,8,4,0.14095377922058105,True
1,8,8,8,0.2750716209411621,True
1,8,8,16,0.4176933765411377,True
1,8,8,32,0.6220648288726807,True
1,8,8,64,0.40976715087890625,True
1,8,8,128,0.8870964050292969,True
1,8,0,1,15.761134147644043,True
1,8,0,2,0.001127004623413086,True
1,8,0,4,0.06192970275878906,True
1,8,0,8,0.1676023006439209,True
1,8,0,16,0.19292926788330078,True
1,8,0,32,0.14687705039978027,True
1,8,0,64,0.16774916648864746,True
1,8,0,128,0.39505887031555176,True
1,16,8,1,222.5283920764923,True
1,16,8,2,0.004509687423706055,True
1,16,8,4,0.13764405250549316,True
1,16,8,8,0.28702855110168457,True
1,16,8,16,0.7941727638244629,True
1,16,8,32,0.8439583778381348,True
1,16,8,64,0.8036313056945801,True
1,16,8,128,1.195662021636963,True
1,16,0,1,83.48822665214539,True
1,16,0,2,0.001230478286743164,True
1,16,0,4,0.158721923828125,True
1,16,0,8,0.0364842414855957,True
1,16,0,16,0.957608699798584,True
1,16,0,32,0.21129822731018066,True
1,16,0,64,0.017418861389160156,True
1,16,0,128,0.9477734565734863,True
1,32,8,1,563.146746635437,True
1,32,8,2,0.0069119930267333984,True
1,32,8,4,0.3284952640533447,True
1,32,8,8,0.25517702102661133,True
1,32,8,16,1.1184258460998535,True
1,32,8,32,1.2752928733825684,True
1,32,8,64,1.5415453910827637,True
1,32,8,128,1.415632963180542,True
1,32,0,1,200.53366374969482,True
1,32,0,2,0.11912751197814941,True
1,32,0,4,0.18661785125732422,True
1,32,0,8,0.23230957984924316,True
1,32,0,16,0.58762526512146,True
1,32,0,32,1.3436808586120605,True
1,32,0,64,0.965022087097168,True
1,32,0,128,0.9928555488586426,True
1,64,8,1,932.0538403987885,True
1,64,8,2,0.006368160247802734,True
1,64,8,4,0.1751554012298584,True
1,64,8,8,0.570270299911499,True
1,64,8,16,0.41251373291015625,True
1,64,8,32,1.1803405284881592,True
1,64,8,64,2.1687333583831787,True
1,64,8,128,0.6425337791442871,True
1,64,0,1,275.6132526397705,True
1,64,0,2,0.0017447471618652344,True
1,64,0,4,0.3622121810913086,True
1,64,0,8,0.32224535942077637,True
1,64,0,16,0.6743016242980957,True
1,64,0,32,1.4781100749969482,True
1,64,0,64,3.2422540187835693,True
1,64,0,128,0.3210134506225586,True
1,128,8,1,1608.461903333664,True
1,128,8,2,0.0070989131927490234,True
1,128,8,4,0.34224462509155273,True
1,128,8,8,0.5314853191375732,True
1,128,8,16,2.296149969100952,True
1,128,8,32,3.346550226211548,True
1,128,8,64,2.9353034496307373,True
1,128,8,128,0.46561717987060547,True
1,128,0,1,339.3082537651062,True
1,128,0,2,0.0023746490478515625,True
1,128,0,4,0.05488181114196777,True
1,128,0,8,0.1646571159362793,True
1,128,0,16,0.4327991008758545,True
1,128,0,32,0.42987990379333496,True
1,128,0,64,0.09952926635742188,True
1,128,0,128,44.13046741485596,True
